-16 [50, -50, -50, -50, -50, -50, '-50', -50]
-14 [50, -50, -50, -50, -50, -50, '25', -50]
-15 [50, -50, -50, -50, -50, -50, '-50', -50]
-14 [50, -50, -50, -50, -50, -50, '50', -50]
-14 [50, -50, -50, -50, -50, -50, '-25', -50]
-14 [50, -50, -50, -50, -50, -50, '50', -50]
-13 [50, -50, -50, -50, -50, -50, '0', -50]
-16 [50, -50, -50, -50, -50, -50, '-50', -50]
-14 [50, -50, -50, -50, -50, -50, '0', -50]
-15 [50, -50, -50, -50, -50, -50, '50', -50]
-16 [50, -50, -50, -50, -50, -50, '25', -50]
-12 [50, -50, -50, -50, -50, -50, '50', -50]
-13 [50, -50, -50, -50, -50, -50, '25', -50]
-14 [50, -50, -50, -50, -50, -50, '0', -50]
-15 [50, -50, -50, -50, -50, -50, '-25', -50]
-18 [-50, -25, -50, -50, -50, -50, '25', -50]
-18 [-50, -25, -50, -50, -50, -50, '-25', -50]
-18 [-50, -25, -50, -50, -50, -50, '25', -50]
-17 [-50, -25, -50, -50, -50, -50, '-50', -50]
-18 [-50, -25, -50, -50, -50, -50, '-50', -50]
-18 [-50, -25, -50, -50, -50, -50, '-25', -50]
-18 [-50, -25, -50, -50, -50, -50, '50', -50]
-18 [-50, -25, -50, -50, -50, -50, '-50', -50]
-18 [-50, -25, -50, -50, -50, -50, '0', -50]
-18 [-50, -25, -50, -50, -50, -50, '-25', -50]
-16 [-50, -25, -50, -50, -50, -50, '-50', -50]
-18 [-50, -25, -50, -50, -50, -50, '50', -50]
-18 [-50, -25, -50, -50, -50, -50, '-50', -50]
-18 [-50, -25, -50, -50, -50, -50, '0', -50]
-18 [-50, -25, -50, -50, -50, -50, '25', -50]
-18 [-50, -25, -50, -50, -50, -50, '50', -50]
-18 [-50, -25, -50, -50, -50, -50, '25', -50]
-18 [-50, -25, -50, -50, -50, -50, '50', -50]
-18 [-50, -25, -50, -50, -50, -50, '-25', -50]
-18 [-50, -25, -50, -50, -50, -50, '0', -50]
-18 [-50, -25, -50, -50, -50, -50, '0', -50]
-18 [-50, -25, -50, -50, -50, -50, '0', -50]
-17 [-50, -25, -50, -50, -50, -50, '50', -50]
-18 [-50, -25, -50, -50, -50, -50, '25', -50]
-18 [-50, -25, -50, -50, -50, -50, '-25', -50]
-18 [-25, -25, -50, -50, -50, -50, '-25', -50]
-18 [-25, -25, -50, -50, -50, -50, '-25', -50]
-18 [-25, -25, -50, -50, -50, -50, '0', -50]
-18 [-25, -25, -50, -50, -50, -50, '-50', -50]
-18 [-25, -25, -50, -50, -50, -50, '25', -50]
-18 [-25, -25, -50, -50, -50, -50, '-50', -50]
-18 [-25, -25, -50, -50, -50, -50, '-50', -50]
-18 [-25, -25, -50, -50, -50, -50, '50', -50]
-16 [-25, -25, -50, -50, -50, -50, '50', -50]
-18 [-25, -25, -50, -50, -50, -50, '-25', -50]
-18 [-25, -25, -50, -50, -50, -50, '25', -50]
-18 [-25, -25, -50, -50, -50, -50, '50', -50]
-18 [-25, -25, -50, -50, -50, -50, '-50', -50]
-16 [-25, -25, -50, -50, -50, -50, '0', -50]
-17 [-25, -25, -50, -50, -50, -50, '25', -50]
-17 [-25, -25, -50, -50, -50, -50, '50', -50]
-17 [-25, -25, -50, -50, -50, -50, '25', -50]
-18 [-25, -25, -50, -50, -50, -50, '-25', -50]
-18 [-25, -25, -50, -50, -50, -50, '-50', -50]
-18 [-25, -25, -50, -50, -50, -50, '0', -50]
-16 [-25, -25, -50, -50, -50, -50, '0', -50]
-17 [-25, -25, -50, -50, -50, -50, '50', -50]
-18 [-25, -25, -50, -50, -50, -50, '0', -50]
-16 [-25, -25, -50, -50, -50, -50, '25', -50]
-17 [-25, -25, -50, -50, -50, -50, '-25', -50]
-18 [0, -25, -50, -50, -50, -50, '0', -50]
-18 [0, -25, -50, -50, -50, -50, '-25', -50]
-17 [0, -25, -50, -50, -50, -50, '-50', -50]
-18 [0, -25, -50, -50, -50, -50, '-50', -50]
